listing_id,id,date,reviewer_id,reviewer_name,comments,year,sentiment,emotion
9376,15340,2009-10-27,43389,Guillermo & Dana,I stayed at the Venice spot. Everything was great and Cristina was very helpful. Thanks,2009,5.0,joy
15089,13481,2009-10-13,33125,Ana,"We stayed in his apartment for 14 nights, and highly recomend it. Josh was really helpfull and we felt like home. The best of all is the location- guiet street in a livefull neigborhood. Lots of bars and restaurants, shops working late. Subway is just few minutes away. Great, great, great...  ",2009,5.0,joy
9376,11137,2009-09-23,37125,Stephanie,Cristina's place was a beautiful haven near the heart of venice.  We loved the cosy cottage feel and the outdoor shower; it was a home away from home with lovely creature comforts.  Thank you Cristina!  Stephanie & Ruby,2009,5.0,love
8021,4514,2009-06-24,22533,Chaiwat,The location was perfect and the host was easy going. You will feel at home when staying at Sherree's place. ,2009,5.0,joy
15089,11567,2009-09-27,28381,Will,"great time and awesome place, highly recommended.  thanks for all your help and assistance.",2009,5.0,joy
9376,16629,2009-11-08,47584,Jackie,I really enjoyed my stay - it's a sweet little place with friendly neighbours and in a terrific area - close to Abbot Kinney and not too far from the beach. Thank you Cristina,2009,5.0,joy
15089,14373,2009-10-20,41302,Miranda,"Fabulous! I stayed at Josh’s for 6 nights and felt very much at home. The apartment and room was spotless. Josh is a terrific host -  warm, helpful and open – I definitely felt very well looked after! The location of his place is terrific for getting around town and very safe. Lots of lovely shops and restaurants just around the corner too and google pins map provided by Josh has relibly good suggestions<br/>Highly recommended!<br/>",2009,5.0,joy
5728,6141,2009-07-26,25312,Nancy J.,"The space is small and sweet. For those attempting to travel around Los Angeles without a car, it is possible to do this here. The bathroom was a bit like camping, but the funky folks that stay at the Circle make up for it.",2009,4.0,joy
9376,14375,2009-10-20,39138,Crystal,"We really enjoyed staying at Christina's place in Venice.  Close to shops, cafes, and Abbot Kinney.  Comfy bed and friendly dog next door.  Would stay again - Thanks Christina!",2009,4.0,joy
6931,3197,2009-05-26,16167,A.,"Charles is a very friendly host, ready to help when you need a suggestion, and very quiet and respectful of your privacy when you need to be alone. The location of his apartment is great - a short walk from the Hollywood and Highland mall, and very close to all essential conveniences/amenities such as public transport, pharmacies, supermarkets etc.; the street itself is charming and quiet, though the house is steps from the busy and ever-interesting Sunset Boulevard.",2009,4.0,joy
9376,8929,2009-09-03,33861,Kevin,Cristina's place is a tranquil oasis in a beautiful neighborhood.  It was a pleasure staying here.,2009,5.0,joy
15089,11567,2009-09-27,28381,Will,"great time and awesome place, highly recommended.  thanks for all your help and assistance.",2009,5.0,joy
5728,6602,2009-08-02,28245,Michael,"My stay at The Circle was very enjoyable.  Accommodations are rustic but filled with openness and warmth.  Don't expect air conditioning and dimmable recessed lights.  Rather, expect the smell of the eucalyptis through the windows on a warm summer breeze.  Located a stone's throw to Venice & marina Del Ray, convenient to Santa Monica, Wilshire/Westwood, Culver City. Convenient, and VERY quiet at night.",2009,4.0,joy
6033,7368,2009-08-13,27774,Lily,"Sarah is a wonderful hostess, the room and bed are huge and comfortable. Quiet neighborhood with easy access to Malibu and Santa Monica. Enjoyed our stay.",2009,5.0,joy
8021,6017,2009-07-23,26508,Bella,"This was our favourite place to stay of our whole trip of the states. I was so nice to feel at home after being away for so long.<br/>Right from meeting us at the front door to helping us with any questions of the area, Sherree was the perfect hostess!<br/>When my travels lead me back to Hollywood I will surely look her up and stay for even longer this time.",2009,5.0,joy
6931,3197,2009-05-26,16167,A.,"Charles is a very friendly host, ready to help when you need a suggestion, and very quiet and respectful of your privacy when you need to be alone. The location of his apartment is great - a short walk from the Hollywood and Highland mall, and very close to all essential conveniences/amenities such as public transport, pharmacies, supermarkets etc.; the street itself is charming and quiet, though the house is steps from the busy and ever-interesting Sunset Boulevard.",2009,4.0,joy
9376,11137,2009-09-23,37125,Stephanie,Cristina's place was a beautiful haven near the heart of venice.  We loved the cosy cottage feel and the outdoor shower; it was a home away from home with lovely creature comforts.  Thank you Cristina!  Stephanie & Ruby,2009,5.0,love
8021,15750,2009-11-01,27546,Ebba,"We absolutely enjoyed our stay with Sherree. The location is convenient by car or by foot, and her home is very inviting and comfortable. She's friendly and fun and she made us feel right at home. Ebba",2009,5.0,joy
9376,17041,2009-11-12,45988,Claire,"The neighbourhood was safe, easy to find, friendly neighbours and close to all local amenities. The accomodation was cozy, comfortable and quiet. Cristina was very helpful in answering any questions that we had regarding our stay. Thanks Claire and Jon",2009,4.0,joy
5728,5690,2009-07-17,22528,Lyn,"I loved my time at the circle. My hosts were warm and helpful and the environment a  wonderful respite from the energy of LA. I would certainly recommend to others seeking a place to connect with others, a soft landing, in a gorgeous environment.",2009,5.0,joy
9376,16629,2009-11-08,47584,Jackie,I really enjoyed my stay - it's a sweet little place with friendly neighbours and in a terrific area - close to Abbot Kinney and not too far from the beach. Thank you Cristina,2009,5.0,joy
15089,13481,2009-10-13,33125,Ana,"We stayed in his apartment for 14 nights, and highly recomend it. Josh was really helpfull and we felt like home. The best of all is the location- guiet street in a livefull neigborhood. Lots of bars and restaurants, shops working late. Subway is just few minutes away. Great, great, great...  ",2009,5.0,joy
9376,17041,2009-11-12,45988,Claire,"The neighbourhood was safe, easy to find, friendly neighbours and close to all local amenities. The accomodation was cozy, comfortable and quiet. Cristina was very helpful in answering any questions that we had regarding our stay. Thanks Claire and Jon",2009,4.0,joy
8021,9603,2009-09-09,35225,Jarno And Rebecca,"Sherree and her place are absolutely amazing! I can also totally agree with the other reviews below.<br/>First our room was very clean, beautifull decorated as you can see on her profile photo's. We are also no early-birds and leaving the end of the morning or arriving late in the evening/night was not a problem at all!<br/><br/>We even arrived at 2 AM at night after a long and beautifull drive from San Francisco over the US1 what was not a problem for Sherree: wonderfull! The first morning she made us some great french toast! Really tasty!<br/><br/>Also, the information, tips and reviews she gave us were all highly rated by us, really excellent local information!<br/>We actually didn't experience anything negative. We definately come book once again!",2009,5.0,joy
